Week,depression,anxiety,obsessive compulsive disorder,ocd,insomnia,panic attack,mental health,counseling,psychiatrist
16/6/2019,81,87,61,58,75,72,45,99,86
23/6/2019,76,85,75,60,76,73,44,98,83
30/6/2019,73,83,63,57,70,73,38,82,76
7/7/2019,80,90,74,62,77,76,45,100,85
14/7/2019,80,90,72,65,76,79,44,93,91
21/7/2019,79,92,74,59,77,78,43,93,88
28/7/2019,80,93,67,60,79,78,42,92,86
4/8/2019,78,92,80,59,78,74,45,94,86
11/8/2019,78,92,52,60,84,79,44,91,90
18/8/2019,79,95,63,59,86,80,44,96,93
25/8/2019,81,92,72,63,82,74,44,94,90
1/9/2019,80,92,67,62,81,76,45,87,87
8/9/2019,90,96,74,64,79,76,53,96,96
15/9/2019,93,96,67,61,83,76,53,98,100
22/9/2019,89,97,76,67,82,76,55,93,94
29/9/2019,87,96,75,62,80,80,56,92,92
6/10/2019,92,98,81,67,80,77,100,89,91
13/10/2019,97,97,73,67,81,73,55,90,95
20/10/2019,92,97,77,70,81,75,56,90,94
27/10/2019,91,94,77,65,79,73,52,89,91
3/11/2019,95,95,89,67,77,73,55,91,96
10/11/2019,97,95,91,74,75,80,53,90,88
17/11/2019,98,99,94,74,78,77,55,91,90
24/11/2019,84,90,78,68,72,79,45,62,73
1/12/2019,94,93,84,74,80,76,51,88,89
8/12/2019,93,89,84,67,76,76,46,83,83
15/12/2019,83,84,67,67,74,74,42,74,77
22/12/2019,68,77,59,62,73,67,28,53,66
29/12/2019,78,87,67,65,86,77,35,73,77
5/1/2020,88,96,69,69,89,78,51,92,93
12/1/2020,89,94,72,71,85,78,53,97,94
19/1/2020,89,97,70,70,83,83,53,90,94
26/1/2020,93,99,75,72,81,86,55,95,94
2/2/2020,92,95,82,69,81,82,54,95,95
9/2/2020,95,96,75,67,84,76,55,90,96
16/2/2020,97,100,83,69,80,82,57,93,97
23/2/2020,100,100,88,69,81,82,57,92,94
1/3/2020,99,98,100,70,79,84,56,91,89
8/3/2020,93,91,79,69,75,89,50,79,84
15/3/2020,90,88,69,62,66,93,43,65,60
22/3/2020,91,97,67,62,80,99,45,57,59
29/3/2020,92,96,82,64,90,99,49,59,59
5/4/2020,96,94,80,71,97,100,46,58,61
12/4/2020,96,92,75,70,98,90,47,61,63
19/4/2020,95,95,76,94,100,86,50,62,71
26/4/2020,95,97,83,76,97,86,53,62,70
3/5/2020,93,94,92,77,97,87,56,66,75
10/5/2020,92,93,83,100,95,85,55,66,76
17/5/2020,89,97,80,100,92,82,62,66,77
24/5/2020,82,91,63,95,89,86,48,63,72
31/5/2020,82,91,61,84,83,78,51,67,80